country,city,GSV,espg,name,year,week,latitude,longitude,counts_week,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,3_way_int_count,4_way_int_count,median_speed,dist_to_greenspace,dist_to_bikePOI,dist_to_edu,dist_to_train,bike_points,bus_stops,restaurants,daily_shops,business_shops,traffic_signals,cycle_length,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,pop_sum,lc_entropy,build_area
France,Paris,no,32631,18 quai de l'Hôtel de Ville,2022,38,48.82048,2.35873,13932,41,67,3.268292683,6900.096,102.9865075,3.292682927,40,5965.734,56,106.5309643,1.028538854,26,14,30,57,5,0,63,17,13,19,6,10,13,2349.498275,0.25267669,0.177981339,59.35616438,4.453831749,20.67313695,0.376761655,2846.049072,0.707555504,0.052165019
France,Paris,no,32631,36 quai de Grenelle,2022,35,48.85174,2.28593,30543,38,71,3.736842105,6231.106,87.76205634,3.421052632,38,4781.963,56,85.39219643,1.009113641,26,8,30,28,0,9,53,14,2,10,1,1,8,524.1021609,0.229259399,0.218602705,35.61009174,6.256687357,19.60896959,1.473371111,2262.5625,0.857890339,0.081730348
France,Paris,no,32631,Face au 70 quai de Bercy,2022,35,48.829523,2.38699,19379,43,57,2.651162791,6941.03,121.7724561,3.186046512,43,6491.07,55,118.0194545,1.016183553,35,8,30,62,44,0,52,6,4,0,0,0,10,1178.311744,0.074725644,0.23936077,35.83944954,7.042915868,20.44326082,1.986487852,1306.609131,0.741300069,0.03485132
France,Paris,no,32631,6 rue Julia Bartet,2022,35,48.82624,2.30281,24553,56,90,3.214285714,10941.713,121.5745889,3.375,56,9468.001,76,124.5789605,1.006542262,40,11,30,0,1,51,55,22,11,3,2,0,22,991.5962142,0.296159456,0.156219539,65.90610329,3.908653014,21.23393944,0.757347158,3370.629395,0.790487497,0.029162745
France,Paris,no,32631,90 Rue De Sèvres,2022,35,48.84641,2.31524,21125,40,66,3.3,5841.196,88.5029697,3.125,37,4662.594,53,87.9734717,1.062181024,23,11,30,0,0,0,0,15,5,9,2,6,7,899.3429673,0.187085831,0.151540902,44.53181818,3.633666613,21.38190474,0.466072899,3537.769287,0.772324194,0.080523631
France,Paris,no,32631,Face au 25 quai de l'Oise ,2022,35,48.89141,2.38482,26386,34,50,2.941176471,5631.7,112.634,3.352941176,34,5032.258,47,107.0693191,1.027815398,24,9,30,0,0,0,0,9,2,13,1,1,0,2546.322769,0.183639184,0.180868244,56.05479452,3.271115086,19.56118454,1.004073095,3616.316895,0.751490778,0.060509535
France,Paris,no,32631,Quai d'Orsay,2022,35,48.8629,2.3118,47524,34,59,3.470588235,8551.195,144.9355085,3.470588235,33,6288.142,44,142.9123182,1.000134771,16,16,30,44,0,24,58,9,9,8,0,1,16,1881.448931,0.189680645,0.2738598,34.29493088,6.10926788,20.22514716,1.054731319,1562.462158,0.765779879,0.022220648
France,Paris,no,32631,Totem Cours la Reine,2022,35,48.86462,2.31444,40242,24,43,3.583333333,6984.322,162.426093,3.458333333,24,4492.203,29,154.9035517,1.001303747,14,9,30,0,10,18,52,5,7,9,0,0,10,1131.182544,0.20396891,0.28493836,35.30275229,8.927336214,19.72964002,1.007844119,1178.966309,0.959460185,0.027040358
France,Paris,no,32631,254 rue de Vaugirard,2022,35,48.83985,2.30202,33304,54,91,3.37037037,7782.442,85.52134066,3.222222222,53,6369.183,75,84.92244,1.001383704,37,15,30,0,15,58,0,28,7,29,3,33,10,544.8045775,0.166522423,0.160633035,51.45205479,3.491834294,21.50326413,0.271066284,2870.324707,0.69988158,0.098885938
France,Paris,no,32631,Face au 48 quai de la marne,2022,35,48.89172,2.38531,46886,32,48,3,5277.314,109.9440417,3.34375,32,4805.392,46,104.4650435,1.02323194,23,8,30,53,37,53,28,8,0,7,0,1,0,2412.811729,0.194060439,0.186071714,55.25581395,3.03692794,19.42683503,0.978188465,3813.550537,0.779291189,0.054149281
