country,city,GSV,espg,name,year,week,latitude,longitude,counts_week,spatial_lag,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,3_way_int_count,4_way_int_count,median_speed,dist_to_greenspace,dist_to_bikePOI,dist_to_edu,dist_to_train,bike_points,bus_stops,restaurants,daily_shops,business_shops,traffic_signals,cycle_length,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,lc_entropy,pop_sum,build_area
Netherlands,Amsterdam,y,32631,Plesmanlaan,2022,38,52.3513756,4.8340979,128756,13411871,43,80,3.720930233,7082.412,88.53015,3.069767442,39,5277.194,51,103.4743922,1.025774095,24,13,30,48,38,74,74,1,2,0,0,0,0,1397.713746,0.442251961,0.190051434,1.543378995,1.493269374,15.43959805,0.6682047,0.829520298,778.7438354,0.03057464
Netherlands,Amsterdam,y,32631,Erasmusgracht,2022,38,52.3756332,4.8396611,102080,13438547,14,22,3.142857143,2423.49,110.1586364,2.857142857,13,1955,17,115,1.074321796,10,0,80,0,92,92,0,1,0,0,0,0,0,1379.214971,0.31747623,0.172268363,1.963636364,2.013261816,17.10303622,0.746096817,0.760094385,662.9147339,0.03260664
Netherlands,Amsterdam,y,32631,Nieuwe0Hemweg,2022,38,52.4041176,4.8427629,25152,13515475,18,28,3.111111111,3470.019,123.92925,3.277777778,18,2573.885,24,107.2452083,1.063256485,14,3,50,90,0,98,0,2,0,0,0,0,0,940.9623735,0.340138027,0.201126884,3.389908257,4.263057544,18.93719986,1.111122803,0.807144851,730.6116943,0.01565923
Netherlands,Amsterdam,y,32631,Netwerkweg,2022,38,52.4126053,4.880053,40640,13499987,54,121,4.481481481,12437.059,102.7856116,3.222222222,53,7967.453,74,107.6682838,1.050587466,39,14,30,84,67,84,67,0,3,1,0,0,0,1112.546007,0.400874669,0.225343507,-1.476635514,2.439341854,17.85003263,1.267783477,0.770912259,394.8638,0.03552826
Netherlands,Amsterdam,y,32631,Weesperstraat,2022,38,52.3645134,4.9061499,164388,13376239,54,92,3.407407407,7877.263,85.62242391,3,47,6828.024,70,97.5432,1.044037532,23,19,50,0,73,78,0,1,0,7,1,1,7,1141.381386,0.183132875,0.112661201,6.075117371,2.805760441,16.09955665,0.542546735,0.628650417,773.3530273,0.06341429
Netherlands,Amsterdam,y,32631,Jachthavenweg,2022,38,52.3331337,4.8550491,198340,13342287,38,78,4.105263158,7317.973,93.82016667,3.263157895,32,4658.034,53,87.88743396,1.030680104,15,14,50,61,52,63,63,0,1,0,0,0,0,1433.255741,0.286242645,0.161469108,0.198156682,1.278102104,15.92457742,0.643880052,0.768586159,671.4404297,0.04374092
Netherlands,Amsterdam,y,32631,Skusjespad,2022,38,52.3369217,4.855587,48064,13492563,45,83,3.688888889,10227.536,123.2233253,3.555555556,45,8697.014,70,124.2430571,1.103439123,27,14,50,82,82,0,93,0,3,0,0,0,18,1660.917184,0.256490922,0.158297848,2.660550459,2.615129528,15.56747577,0.721404673,0.731255801,738.5211792,0.03131765
Netherlands,Amsterdam,y,32631,Strawinskylaan,2022,38,52.3410149,4.8713231,217984,13322643,49,100,4.081632653,8602.628,86.02628,3.020408163,46,6277.636,66,95.11569697,1.025612676,34,8,50,83,98,77,87,9,5,6,1,1,4,1305.53455,0.265324275,0.180474073,5.046948357,3.985614105,15.10572321,1.034520012,0.751606162,854.65625,0.05645763
Netherlands,Amsterdam,y,32631,De0Boelelaan,2022,38,52.3349609,4.8832431,81328,13459299,22,41,3.727272727,4587.329,111.8860732,3.090909091,19,3198.775,29,110.3025862,1.082540585,9,9,30,0,87,62,0,1,1,1,0,0,4,1367.8267,0.27959782,0.163238626,1.834101382,3.594688638,15.97094052,1.275786974,0.584850644,717.3097534,0.04474938
Netherlands,Amsterdam,y,32631,Linnaeusstraat,2022,38,52.3622704,4.9239888,232064,13308563,56,110,3.928571429,10781.906,98.01732727,3.410714286,56,7168.443,83,86.36678313,1.041130644,34,21,50,76,76,76,48,2,3,13,9,12,1,1916.741424,0.362387761,0.19771042,5.164383562,2.018275171,16.04333217,0.97501928,0.685986845,763.3841553,0.04832398
Netherlands,Amsterdam,y,32631,Weesperzijde,2022,38,52.3545341,4.908556,269552,13271075,58,98,3.379310345,8986.67,91.70071429,3.172413793,56,6818.365,72,94.69951389,1.040372735,38,16,50,80,91,52,2,2,2,16,1,4,6,1918.028559,0.196745609,0.141964497,4.465753425,2.173410458,15.72084025,0.877834121,0.872036632,657.9003906,0.05914013
Netherlands,Amsterdam,y,32631,Pontanusstraat,2022,38,52.3628998,4.9305749,96676,13443951,60,132,4.4,14623.212,110.7819091,3.266666667,58,9272.271,80,115.9033875,1.033148754,30,24,30,57,59,83,59,3,3,15,13,18,0,1929.210454,0.279548299,0.145984684,5.208144796,1.498755652,17.87392733,0.540926437,0.582002876,859.9473877,0.06342768
Netherlands,Amsterdam,y,32631,Fietspad0Science0Park,2022,38,52.3577042,4.9541869,201116,13339511,25,50,4,4210.813,84.21626,2.56,18,2167.935,27,80.29388889,1.056343396,15,3,15,76,76,67,67,18,2,1,0,0,0,809.3179432,0.411006509,0.226305906,-0.413636364,2.529246286,14.8997148,0.869856539,0.94056151,360.6364746,0.01556997
Netherlands,Rotterdam,y,32631,Tjalklaan0(noordoostzijde)0van0Schiedam0naar0Overschie0thv0A200(20Ri.),2022,38,51.92342,4.4194698,25496,2754039,31,48,3.096774194,9565.153,199.2740208,3.290322581,30,8277.208,40,206.9302,1.052643386,17,12,50,114,114,203,203,0,0,0,0,0,22,2190.548792,0.289798563,0.235783679,0.71559633,2.385321101,18.16113953,1.317129416,0.688335433,482.9740906,0.03573813
Netherlands,Rotterdam,y,32631,Beukelsweg,2022,38,51.9214096,4.4391661,73728,2705807,24,35,2.916666667,4649.891,132.8540286,3.041666667,22,4179.353,31,134.8178387,1.093148392,17,5,50,138,0,0,138,0,2,0,0,0,17,2104.689126,0.41805173,0.225295502,0.835616438,2.13481918,16.76963047,0.796666002,0.874231449,334.5570679,0.01614255
Netherlands,Rotterdam,y,32631,Professor0Jonkerweg0van0Rotterdam0naar0Overschie0tzv0A200(20Ri.),2022,38,51.9275093,4.4309001,72566,2706969,4,3,1.5,2221.281,740.427,2.5,3,2221.281,3,740.427,1.037548664,3,0,65,23,0,0,138,0,0,0,0,0,0,921.5138715,0.330835597,0.258234682,1.350230415,2.689270787,16.60330524,1.304681872,0.859520727,339.1402588,0.01809112
Netherlands,Rotterdam,y,32631,West-Sidelinge0(oostzijde)0van0Overschie0naar0Rotterdam0tnv0A200(20Ri.),2022,38,51.931881,4.43717,22752,2756783,59,94,3.186440678,16334.79,173.7743617,2.949152542,54,13737.248,72,190.7951111,1.089019414,45,8,50,199,0,0,199,0,3,0,0,0,0,2013.874639,0.336046287,0.188943223,1.502283105,2.925832714,17.13231753,0.581210347,0.754039547,481.2442017,0.02252685
