country,city,name,year,week,latitude,longitude,counts_week,nodes,edges,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,circuity_avg,self_loop_proportion,bike_points,bus_stops,restaurants,shop_list,cycle_length,dist_to_greenspace,dist_to_bike,build_area,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,pop_mean,pop_std,landuse_entropy,3_way_int_count,4_way_int_count
UK (Scotland),Aberdeen,"Site A Auchmill RD, Scatterburn",2022,38,57.17247,-2.15466,80,271,666,4.915129151,228,2.822878229,33796.851,50.74602252,18979.305,52.28458678,363,1.0426092,0,0,2,0,0,833.4294728,68,46,38488.94146,0.419484945,0.192145962,61.93385214,8.497625094,280.9675781,0.253194617,14.40259933,16.54120127,0.806902703,4,2
UK (Scotland),Aberdeen,Dyce Airport - Bus Turning Circle,2022,38,57.20533,-2.19309,95,209,461,4.411483254,140,2.397129187,21919.566,47.54786551,11236.784,47.41259072,237,1.086192024,0.004219409,6,1,1,0,501.4629164,68,0,68280.85362,0.289133795,0.138174585,58.93774319,1.57188812,282.5557091,0.535111293,3.729947297,5.711027669,0.744351567,2,1
UK (Scotland),Aberdeen,Farburn Bridge,2022,38,57.19976,-2.17253,102,149,367,4.926174497,115,2.624161074,17146.004,46.71935695,8745.902,47.02097849,186,1.053087157,0,0,0,0,0,27.56202554,47,110,57003.22808,0.412380893,0.200347752,40.31128405,3.069301544,281.1995053,0.882994802,0.430734721,0.43712919,0.851923932,0,0
UK (Scotland),Aberdeen,Maidencraig 3,2022,38,57.1489,-2.18312,123,340,878,5.164705882,274,2.75,39909.683,45.45521982,20082.661,45.23121847,444,1.061499023,0.002252252,0,0,0,0,2042.381509,155,146,25429.28492,0.464517704,0.138250995,107.4562738,6.764154895,281.5344901,0.593773591,1.812631856,6.072456898,0.82075225,3,1
UK (Scotland),Aberdeen,"Site B Heathryfold Circle, Scatterburn",2022,38,57.17083,-2.15638,130,352,899,5.107954545,304,2.840909091,40395.73,44.93407119,21891.789,45.99115336,476,1.047444965,0,0,6,0,1,1035.822036,137,153,41816.66901,0.487978145,0.188655759,75.92248062,6.393567993,281.2100166,0.214659285,19.27902915,23.15468254,0.705371036,4,0
UK (Scotland),Aberdeen,Dyce Drive 1- North of Wellheads Drive,2022,38,57.193371,-2.20114,132,262,650,4.961832061,214,2.812977099,29293.12,45.06633846,15998.944,45.71126857,350,1.114958405,0.014285714,0,2,0,0,2228.372485,154,138,93088.88306,0.332935399,0.19060667,79.24806202,1.367003217,281.6859859,0.740559727,0.068469991,0.009975545,0.660374247,2,0
UK (Scotland),Aberdeen,"Site C Manor Avenue, Scatterburn",2022,38,57.17024,-2.15438,154,351,872,4.968660969,290,2.777777778,42968.311,49.27558601,23419.507,50.14883726,467,1.04638412,0,0,7,0,0,984.4900204,68,0,51884.18279,0.445972844,0.180856914,74.93436293,6.692900685,281.236969,0.136252487,19.2934013,20.97055566,0.799816253,8,2
UK (Scotland),Aberdeen,Maidencraig 2,2022,38,57.14887,-2.18041,168,422,1105,5.236966825,344,2.755924171,46733.39,42.29266063,23597.922,42.21452952,559,1.080549336,0.003577818,0,0,0,0,1746.971476,122,35,41662.73559,0.455858411,0.148014793,104.6603053,4.776999272,281.3988312,0.478145922,12.23853811,14.12302024,0.880744,6,1
UK (Scotland),Aberdeen,A96 Auchmill Road (Westbound),2022,38,57.177235,-2.167846,187,335,805,4.805970149,264,2.665671642,34289.911,42.59616273,18692.668,42.97165057,435,1.087157394,0.002298851,0,2,1,1,646.1431577,66,66,49629.36244,0.372354131,0.1870518,50.09302326,8.731074204,280.9857679,0.496367502,10.51920249,13.44997543,0.921746594,10,3
UK (Scotland),Aberdeen,A956 Wellington Road (Northbound),2022,38,57.132984,-2.09483,205,338,781,4.621301775,268,2.656804734,36034.754,46.13924968,19633.644,46.30576415,424,1.079427811,0.004716981,0,6,0,1,1583.882512,68,156,55425.15972,0.233402374,0.21737089,19.1259542,7.63550453,281.0345681,0.829766987,26.29108683,16.61279216,0.899393448,9,3
